!Title,!Org,Vacancy Button,!Location,Date published,!Date it closes,!Problem area (filters),!Description,!Required degree,!MinimumExperienceLevel,!Role type,!Position,!Salary (display),Org's home page,Org's vacancies page,Org's logo,Highlighted role
Operations Director / Operations Manager,New Movement Organization for AI Regulation,https://tally.so/r/zxABqg,"San Francisco Bay Area.USA,""New York, NY.USA"",Remote.USA",2026-08-17,1/1/2050,1. AI safety & policy,"* In this role, you'll lead the operational foundation for a new AI advocacy movement, ensuring teams, campaigns, and volunteers have the infrastructure and processes needed to maximize impact.
* Shape organizational strategy and design to efficiently execute plans at national scale.
* Lead people operations including recruiting, HR, performance management, and culture building.
* Oversee finance, legal, and compliance management for 501(c)(3) and (c)(4) entities.
* Build tech infrastructure and operational systems to organize nationwide actions and drive federal AI policy wins.",Undergraduate degree or less,"Mid (5-9 years experience),Senior (10+ years experience)","Operations, Legal, Finance",Full-time,"$130,000 - $170,000",https://tally.so/r/81YD8z,https://tally.so/r/81YD8z,https://80000hours.org/wp-content/uploads/2026/08/placeholder_logo.png,
Senior Digital Manager,New Movement Organization for AI Regulation,https://tally.so/r/kd4jyZ,"""New York, NY.USA"",Remote.USA",2026-08-17,1/1/2050,1. AI safety & policy,"* In this role, you'll build and manage email, SMS, and social media programs to mobilize grassroots AI advocacy.
* Design and execute email, SMS, and digital campaigns for fundraising, rapid response, and supporter activation.
* Run social media accounts daily, publishing timely content and capitalising on emerging news opportunities.
* Grow supporter lists through acquisition campaigns and mobilise them for events, actions, and lobbying pushes.
* Own testing, analytics, digital tools, and team building as the program scales.",Undergraduate degree or less,Mid (5-9 years experience),"Outreach, Management",Full-time,"$120,000 - $145,000",https://tally.so/r/81YD8z,https://tally.so/r/81YD8z,https://80000hours.org/wp-content/uploads/2026/08/placeholder_logo.png,
Organizing Director,New Movement Organization for AI Regulation,https://tally.so/r/GxVV2o,"San Francisco Bay Area.USA,""New York, NY.USA"",Remote.USA",2026-08-17,1/1/2050,1. AI safety & policy,"* In this role, you'll build a nationwide organizing program to convert public concern into grassroots political action on AI.
* Design organizing infrastructure with recruitment pipelines, leadership ladders, and training programs.
* Build mass mobilizations, events, lobby days, and rapid-response campaigns.
* Identify, train, and develop volunteer leaders in key states and districts.
* Set strategy, hire field staff, and coordinate with political teams.",Undergraduate degree or less,Senior (10+ years experience),"Strategy, Management",Full-time,"$150,000 - $175,000",https://tally.so/r/81YD8z,https://tally.so/r/81YD8z,https://80000hours.org/wp-content/uploads/2026/08/placeholder_logo.png,
"Distributed Organizer, Contractor",New Movement Organization for AI Regulation,https://tally.so/r/WObr6v,Remote.USA,2026-08-17,1/1/2050,1. AI safety & policy,"* In this role, you'll recruit and coach student leaders to organise AI walkout campaigns on college campuses as part of a national movement.
* Recruit leaders through your networks, research, and partnerships with campus organisations.
* Run high-volume outreach calls pitching students on leading local walkouts.
* Meet with campus leaders regularly to set goals, develop tactics, and plan campaign escalations.
* Troubleshoot organisational challenges including low engagement and administrative obstacles.",Undergraduate degree or less,Junior (1-4 years experience),Outreach,Full-time,"$2,000 per week",https://tally.so/r/81YD8z,https://tally.so/r/81YD8z,https://80000hours.org/wp-content/uploads/2026/08/placeholder_logo.png,
Global Government Relations Operations and Systems Specialist,One Acre Fund,https://oneacrefund.org/vacancies/global-gr-operations-and-systems-specialist,Various.Africa,2026-08-17,27/10/2026,A. Global health & development,"* In this role, you'll strengthen GR processes and coordinate workflows for a 100-person Government Relations team.
* Manage leadership meetings, retreats, and performance management while rolling out compliance tools across countries.
* Lead department-wide learning initiatives including skills academies and mentorship programs.
* Oversee CRM implementation and advisory councils to improve stakeholder engagement and team effectiveness.
* Coordinate donor and government processes by tracking activities, securing approvals, and managing data flow.",Undergraduate degree or less,Junior (1-4 years experience),Operations,Full-time,Not Found,https://oneacrefund.org/,https://oneacrefund.org/careers/job-openings,https://80000hours.org/wp-content/uploads/2023/09/one_acre_fund_logo.png,
Head of AI Red Teaming,Trajectory Labs,https://www.trajectorylabs.com/careers/head-of-ai-red-teaming,San Francisco Bay Area.USA,2026-08-14,1/1/2050,1. AI safety & policy,"* In this role, you'll manage the prompt injection red-teaming operation end to end, delivering safer models for frontier labs.
* Manage the red team by hiring, setting priorities, owning quality standards, and expanding capacity to meet demand.
* Automate the pipeline by building coding-agent systems that increase per-person impact by 10x.
* Own customer delivery by scoping work, maintaining momentum, and ensuring final results meet expectations.
* Set strategy on pricing, packaging, and product roadmap in collaboration with the founding team.",Undergraduate degree or less,Mid (5-9 years experience),"Strategy, Management, Information security",Full-time,"$250,000 - $400,000",https://trajectorylabs.net/,https://trajectorylabs.net/careers,https://80000hours.org/wp-content/uploads/2025/11/trajectory_labs_logo.jpg,
"GenAI Chemical, Biological, Radiological, Nuclear, and Explosives Cyber Expert",Alice,https://alice.io/positions/position-f4_070,Remote.Global,2026-08-14,1/1/2050,"1. AI safety & policy,2. Biosecurity & pandemic preparedness,3. Nuclear security","* In this role, you'll conduct adversarial red-teaming of GenAI systems to identify vulnerabilities against cyber-CBRNE threats.
* Design and execute adversarial prompts, jailbreaks, and multi-turn evaluations to test model safeguards.
* Develop realistic attack scenarios targeting critical infrastructure and high-consequence systems.
* Identify and document failure modes, attack patterns, and vulnerability chains with severity classifications.
* Create repeatable red-team test suites and adversarial datasets to measure model resilience against emerging threats.",Master's degree,Mid (5-9 years experience),Information security,Full-time,"$150,000 - $178,000",https://alice.io/,https://alice.io/careers,https://80000hours.org/wp-content/uploads/2026/01/alice_logo.jpeg,
GenAI Biosecurity Expert,Alice,https://alice.io/positions/position-94_07f,Remote.Global,2026-08-14,1/1/2050,"1. AI safety & policy,2. Biosecurity & pandemic preparedness","* In this role, you will evaluate and strengthen the safety guardrails of Generative AI systems. 
* Conduct hands-on adversarial red-teaming and risk evaluations to stress-test AI models against biological vulnerabilities.
* Translate domain expertise and regulatory standards into actionable feedback for model safety alignment.
* Stay current on emerging biotechnology research, biological threat vectors, and biosecurity governance to continually update safety benchmarks.",Master's degree,"Junior (1-4 years experience),Mid (5-9 years experience)","Research, Information security",Full-time,"$150,000 - $178,000",https://alice.io/,https://alice.io/careers,https://80000hours.org/wp-content/uploads/2026/01/alice_logo.jpeg,
AI and Fiscal Policy Fellow,Committee for a Responsible Federal Budget,https://www.crfb.org/jobs/ai-and-fiscal-policy-fellow,"""Washington, DC metro area.USA""",2026-08-14,1/1/2050,6. Career development: Policy & government,"* In this role, you'll conduct research examining artificial intelligence's impact on federal fiscal policy and the U.S. economy.
* Analyze how AI affects economic growth, labor markets, productivity, tax revenues, and long-term budget projections.
* Write policy briefs, reports, and presentations examining AI's fiscal policy implications.
* Develop and evaluate policy proposals while tracking emerging research and policy debates.
* Organize convenings and build relationships with researchers, think tanks, government officials, and industry experts.",Undergraduate degree or less,Mid (5-9 years experience),"Policy, Research",Fellowship,"$35,000 - $115,000",https://www.crfb.org/,https://www.crfb.org/jobs/,https://80000hours.org/wp-content/uploads/2023/08/cfrfb_logo.jpeg,
Research Engineer,FAR AI,https://jobs.ashbyhq.com/far.ai/52e76732-999b-402f-a908-c4e8b3e7714b?embed=js,"Remote.Global,San Francisco Bay Area.USA",2026-08-14,1/1/2050,1. AI safety & policy,"- In this role, you will develop scalable implementations of machine learning algorithms and use them to run scientific experiments.
- Receive engineering mentorship via code review, pair programming and regular 1-to-1s.
- Contribute to open source codebases such as Pytorch, HuggingFace Transformers and Accelerate.
- Be involved in the write-up of results and credited as an author in papers.",Undergraduate degree or less,Multiple experience levels,"Research, Software engineering",Full-time,$50 - $100 per hour,https://far.ai/,https://alignmentfund.org/#jobs,https://80000hours.org/wp-content/uploads/2024/09/far_ai_logo.jpeg,checked
Research Scientist,FAR AI,https://jobs.ashbyhq.com/far.ai/1bda4204-bfef-4a47-b72b-3562ec0bb3f9?embed=js,San Francisco Bay Area.USA,2026-08-14,1/1/2050,1. AI safety & policy,"""We are seeking expressions of interest from potential Research Scientists who can: Take ownership of and accelerate existing AI Alignment research agendas. Develop their own exciting AI Alignment research agendas. Lead novel research projects where there may be unclear markers of progress and/or success. Contribute to the development of best practices for AI safety research at FAR AI and in the broader community. Publish research findings and engage with the AI safety community.""",Undergraduate degree or less,Multiple experience levels,"Research, Software engineering",Full-time,"$100,000 - $175,000",https://far.ai/,https://alignmentfund.org/#jobs,https://80000hours.org/wp-content/uploads/2024/09/far_ai_logo.jpeg,checked
